3dmodel_id,path,meshes,materials,textures,images,image_height_max,image_height_min,image_width_max,image_width_min,vertices,faces,extent_x,extent_y,extent_z
B01N2PLWIL,L/B01N2PLWIL.glb,1,1,3,3,4096,4096,4096,4096,10990,14380,0.571499943733216,0.11684001048680606,0.07111982014177629
B075QFCHM9,9/B075QFCHM9.glb,1,1,3,3,2048,2048,2048,2048,11973,19568,1.840071976184845,1.0669103860855103,2.3675915002822876
B07H469871,1/B07H469871.glb,1,1,3,3,4096,4096,4096,4096,1602,1950,1.1113524436950684,1.3880813121795654,0.39794909954071045
B07H8V49M2,2/B07H8V49M2.glb,1,1,3,3,4096,4096,4096,4096,3760,5710,1.4998703368605968,2.11988401412964,0.5897879977087402
B07DBHPK4G,G/B07DBHPK4G.glb,1,1,3,3,4096,4096,4096,4096,13704,22736,0.37921489775180817,1.6228150129318237,0.37921497225761414
B0842LM2DN,N/B0842LM2DN.glb,1,1,3,3,4096,4096,4096,4096,4078,7584,0.22779017686843872,0.2348586767911911,0.22779015451669693
B07HK6B4D7,7/B07HK6B4D7.glb,1,1,4,4,2048,2048,2048,2048,12221,19268,0.1887289583683014,0.6650936603546143,0.421692430973053
B07B4FZN9H,H/B07B4FZN9H.glb,1,1,3,3,2048,2048,2048,2048,13595,22644,3.3838289976119995,0.9963648915290833,2.048073887825012
B07B4Z9BS4,4/B07B4Z9BS4.glb,1,1,4,4,2048,2048,2048,2048,9259,16178,0.2793540060520172,0.2693932056427002,0.2793540358543396
B07B7N6JH3,3/B07B7N6JH3.glb,1,1,3,3,4096,2048,4096,2048,72222,132736,0.5069300532341003,0.5503877342207488,0.40040959417819977
B07YN43NHB,B/B07YN43NHB.glb,1,1,3,3,4096,4096,4096,4096,1296,1800,0.3900000751018524,1.0799999552965183,0.33000004291534424
B01D7P5BFS,S/B01D7P5BFS.glb,1,1,3,3,4096,4096,4096,4096,14008,16350,0.4749799853842094,0.970026016235352,0.45008801131803033
B07B7GB7BZ,Z/B07B7GB7BZ.glb,1,1,3,3,2048,2048,2048,2048,7885,16168,0.45452845096588135,0.4305278956890106,0.4545285701751709
B084MXXPK9,9/B084MXXPK9.glb,1,1,3,3,4096,4096,4096,4096,11692,19104,0.6502400040626526,0.5994399785995483,0.44957998394966125
B075HR7LHQ,Q/B075HR7LHQ.glb,1,1,3,3,2048,2048,2048,2048,3721,6880,0.1602836474776268,0.15553244948387146,0.16028359532356262
B07K7LVMQ7,7/B07K7LVMQ7.glb,1,1,3,3,4096,4096,4096,4096,20876,29544,0.6997700512546242,0.4506482233813782,0.6997702598023633
B07QC6VKWB,B/B07QC6VKWB.glb,1,1,3,3,4096,4096,4096,4096,5390,10080,0.2539999932050705,0.22098000347614288,0.2539999783039093
B07QD6TXWS,S/B07QD6TXWS.glb,1,1,3,3,4096,4096,4096,4096,8616,14240,0.5713852941989899,0.6096078753471375,0.4068232625722885
B071W2SCTJ,J/B071W2SCTJ.glb,1,1,3,3,2048,2048,2048,2048,18680,32278,1.764670729637146,1.4870842695236206,2.218244791030884
B075WZVRWX,X/B075WZVRWX.glb,1,1,4,4,2048,2048,2048,2048,24472,41666,0.18652847409248352,0.5871280431747437,0.5609658062458038
B085693MWK,K/B085693MWK.glb,1,1,3,3,4096,4096,4096,4096,22883,42954,0.45841510593891144,1.0404831171035767,0.5557359755039215
B075X4QMX3,3/B075X4QMX3.glb,1,1,3,3,4096,4096,4096,4096,27469,49850,2.1984260082244873,0.9114530086517334,0.9015655219554901
B07QC8CGKK,K/B07QC8CGKK.glb,1,1,3,3,4096,4096,4096,4096,3381,5282,0.19229093194007874,0.2633233070373535,0.19229093194007874
B07MBF93P1,1/B07MBF93P1.glb,1,1,4,4,4096,4096,4096,4096,25505,43454,0.26435744762420654,0.33872413635253906,0.2432016283273697
B075X2LKNZ,Z/B075X2LKNZ.glb,1,1,4,4,2048,2048,2048,2048,6614,10138,0.25131943821907043,0.4354114532470703,0.2508235573768616
B07HSJYKXY,Y/B07HSJYKXY.glb,1,1,3,3,2048,2048,2048,2048,2926,5106,0.6011735200881958,0.7253102660179138,0.124862439930439
B07PWRJT5R,R/B07PWRJT5R.glb,1,1,3,3,4096,4096,4096,4096,11219,15504,0.7004889249801636,0.6170821785926819,0.586166501045227
B07HSLG6WN,N/B07HSLG6WN.glb,1,1,3,3,2048,2048,2048,2048,1820,3200,0.3161359280347824,0.30280181765556335,0.3165964335203171
B075HXLWRN,N/B075HXLWRN.glb,1,1,3,3,2048,2048,2048,2048,4124,7702,0.18954120576381683,0.16378608345985413,0.07302220910787582
B07QDNRBC8,8/B07QDNRBC8.glb,1,1,3,3,4096,4096,4096,4096,22239,41308,0.49989284574985504,0.9912660121917725,0.633090615272522
B075Z1NM5W,W/B075Z1NM5W.glb,1,1,3,3,2048,2048,2048,2048,7276,9944,1.4988656044006348,0.49140745401382446,0.49916723370552063
B075Z8629N,N/B075Z8629N.glb,1,1,3,3,2048,2048,2048,2048,712,390,1.1336472630500793,0.7520380020141602,1.1859039664268494
B07B82PXCW,W/B07B82PXCW.glb,1,1,3,3,2048,2048,2048,2048,14981,15724,0.8426667749881744,0.7628967761993408,0.8115276992321014
B07B78LXZ1,1/B07B78LXZ1.glb,1,1,3,3,2048,2048,2048,2048,9291,12136,1.064670979976654,0.8296610116958618,0.4452544003725052
B07B8PXTSY,Y/B07B8PXTSY.glb,1,1,3,3,2048,2048,2048,2048,2417,4248,0.11061955988407135,0.26103338599205017,0.11061954498291016
B01FK3FWNG,G/B01FK3FWNG.glb,1,1,3,3,4096,4096,4096,4096,2368,3166,1.1353798943304974,0.8991596660581672,0.6045199234504534
B07H8SZNZ3,3/B07H8SZNZ3.glb,1,1,3,3,4096,4096,4096,4096,1464,1836,1.349756121635437,0.4498339891433716,0.6997700929641724
B07B4N1MCL,L/B07B4N1MCL.glb,1,1,3,3,4096,4096,4096,4096,10542,18672,2.015183448791504,0.9563943147659302,0.8560784757137299
B07B4ZQQNC,C/B07B4ZQQNC.glb,1,1,3,3,2048,2048,2048,2048,23005,40370,1.7064088582992554,1.4271643161773682,2.3866915702819824
B07S5FQRDZ,Z/B07S5FQRDZ.glb,1,1,3,3,4096,4096,4096,4096,7857,11564,0.6428309679031372,1.7699977159500122,0.1917659193277359
B084T7DTNJ,J/B084T7DTNJ.glb,1,1,3,3,4096,4096,4096,4096,29558,54700,0.4834899753332138,0.8650000095367432,0.5499999821186066
B07B4ZM56C,C/B07B4ZM56C.glb,1,1,3,3,2048,2048,2048,2048,36803,65470,1.6958258152008057,1.425925612449646,2.2329899072647095
B0853KXQX1,1/B0853KXQX1.glb,1,1,3,3,4096,4096,4096,4096,3460,6328,0.4906288832426071,0.83949875831604,0.5917400121688843
B072JG3WK1,1/B072JG3WK1.glb,1,1,3,3,2048,2048,2048,2048,10765,18572,0.8028411865234375,0.8757168650627136,0.7351552248001099
B071J7Q32K,K/B071J7Q32K.glb,1,1,3,3,2048,2048,2048,2048,22249,39668,1.1470674276351929,1.0437953472137451,0.9386908411979675
B071PDYXKX,X/B071PDYXKX.glb,1,1,3,3,2048,2048,2048,2048,6002,10636,1.0172624588012695,0.42265158891677856,1.0225973725318909
B073ZRNDP4,4/B073ZRNDP4.glb,1,1,3,3,4096,4096,4096,4096,18538,33320,2.211931824684143,0.997827410697937,0.8527293801307678
B075X1TB14,4/B075X1TB14.glb,1,1,4,4,2048,2048,2048,2048,12735,19672,0.4473682940006256,0.7181805372238159,0.4475913941860199
B075YPTFVD,D/B075YPTFVD.glb,1,1,3,3,4096,4096,4096,4096,8894,13630,0.5479762852191925,0.9116467833518982,0.5576764792203903
B07QB8L3L5,5/B07QB8L3L5.glb,1,1,3,3,4096,4096,4096,4096,3314,6192,0.11623486876487732,0.22965945303440094,0.11623485386371613
B07MSWQR39,9/B07MSWQR39.glb,1,1,3,3,4096,4096,4096,4096,23426,42106,0.566256582736969,0.909107506275177,0.6294267177581787
B07B4FZWCN,N/B07B4FZWCN.glb,1,1,3,3,2048,2048,2048,2048,25639,46547,2.560664415359497,0.928024172782898,1.2936196327209473
B07BWKH16K,K/B07BWKH16K.glb,1,1,3,3,2048,2048,2048,2048,15181,26654,0.8349125385284424,0.5033989548683167,0.629469245672226
B07QFRSN37,7/B07QFRSN37.glb,1,1,3,3,4096,4096,4096,4096,12106,21488,0.5262019038200378,1.091626763343811,0.5634992122650146
B07B4SC9RP,P/B07B4SC9RP.glb,1,1,3,3,2048,2048,2048,2048,8827,14168,1.4881218075752258,0.48812320828437805,0.47923754155635834
B07VGLDBDR,R/B07VGLDBDR.glb,1,1,3,3,4096,4096,4096,4096,7030,9644,1.199999928474426,0.499999994039534,0.4150000265240638
B079LFHRV7,7/B079LFHRV7.glb,1,1,3,3,4096,4096,4096,4096,63007,122948,0.30711835622787476,0.3863576352596283,0.036299899220466614
B07B8FHTJ4,4/B07B8FHTJ4.glb,1,1,3,3,2048,2048,2048,2048,5872,4824,0.48899999260902405,0.5903339385986328,0.18381034582853317
B07ML7NZR7,7/B07ML7NZR7.glb,1,1,4,4,4096,4096,4096,4096,35921,61781,0.20290298014879227,0.3681786787562302,0.20290300995111465
B072M1WJHP,P/B072M1WJHP.glb,1,1,3,3,4096,4096,4096,4096,8311,15568,0.44957998394966125,0.4625868648290634,0.44957999885082245
B07B8NZQ68,8/B07B8NZQ68.glb,1,1,3,3,2048,2048,2048,2048,3565,6720,0.15837910026311874,0.22821521759033203,0.15837913751602173
B071FMSY5S,S/B071FMSY5S.glb,1,1,3,3,2048,2048,2048,2048,12393,22524,1.517953634262085,0.9295791983604431,0.999102771282196
B07RMYWYN9,9/B07RMYWYN9.glb,1,1,3,3,4096,4096,4096,4096,22588,39328,1.199999809265136,0.8549999785423092,0.39999996622402967
B07JV99PSG,G/B07JV99PSG.glb,1,1,3,3,2048,2048,2048,2048,4744,8576,0.8854067027568817,0.47837647795677185,0.6365086436271667
B077HZ23BG,G/B077HZ23BG.glb,1,1,3,3,2048,2048,2048,2048,1786,2562,0.7499961853027344,1.279999017715454,0.2499997243285179
B07B4MN127,7/B07B4MN127.glb,1,1,3,3,2048,2048,2048,2048,12852,22992,0.8410627841949463,1.0278774499893188,0.8583482205867767
B07TN1X4D2,2/B07TN1X4D2.glb,1,1,3,3,4096,4096,4096,4096,28202,54252,0.9181193709373474,0.6053435802459717,0.9131865799427032
B07QCPZTFJ,J/B07QCPZTFJ.glb,1,1,3,3,4096,4096,4096,4096,12106,21488,0.5262019038200378,0.9824262857437134,0.5634991824626923
B07B8VJQG1,1/B07B8VJQG1.glb,1,1,3,3,2048,2048,2048,2048,1734,3072,0.6067780256271362,0.08846356841968372,0.15232878923416138
B07K6S2G6J,J/B07K6S2G6J.glb,1,1,3,3,4096,4096,4096,4096,3298,5272,0.7899999618530273,0.7599999308586121,0.44648830592632294
B07B78M4DN,N/B07B78M4DN.glb,1,1,3,3,2048,2048,2048,2048,5008,9322,0.45746442675590515,0.7374036908149719,0.4759370684623718
B07BWL4C2F,F/B07BWL4C2F.glb,1,1,3,3,2048,2048,2048,2048,56740,105024,2.95583176612854,0.8998122811317444,1.9391818046569824
B07HSK72CN,N/B07HSK72CN.glb,1,1,3,3,4096,4096,4096,4096,61746,105324,0.5829162299633026,0.85746830701828,0.3394308090209961
B07TLDNPXW,W/B07TLDNPXW.glb,1,1,3,3,4096,4096,4096,4096,21397,34560,0.8999999284744211,0.39999973724284615,0.8999999821186035
B07BWJD1S8,8/B07BWJD1S8.glb,1,1,3,3,4096,4096,4096,4096,29293,49612,2.736635684967041,0.7564859390258789,1.8786824941635132
B07TZ9BG49,9/B07TZ9BG49.glb,1,1,3,3,4096,4096,4096,4096,8370,13100,0.3440000033799333,0.34399998311435387,0.29000004656174594
B075YV7SQY,Y/B075YV7SQY.glb,1,1,3,3,2048,2048,2048,2048,8825,16404,0.7275594770908356,0.8271228671073914,0.5746364295482635
B075Z1VKKX,X/B075Z1VKKX.glb,1,1,3,3,2048,2048,2048,2048,9325,16976,0.4933181703090668,0.49077898263931274,0.4359705150127411
B07YBHC87T,T/B07YBHC87T.glb,1,1,3,3,4096,4096,4096,4096,13971,20900,0.5314014554023743,1.1717313528060913,0.4688408672809601
B010QZCT5W,W/B010QZCT5W.glb,1,1,3,3,4096,4096,4096,4096,21799,29580,0.11506200031869077,0.4664659201315435,0.4952999733562844
B07QBQCG77,7/B07QBQCG77.glb,1,1,3,3,4096,4096,4096,4096,5913,9916,0.6095999479293823,0.8890000581741333,0.6200139820575714
B07QGSZ4LN,N/B07QGSZ4LN.glb,1,1,3,3,4096,4096,4096,4096,32577,55304,0.7100061608016978,0.9299957955283141,0.7601873948250251
B06X19FLTC,C/B06X19FLTC.glb,1,1,3,3,4096,4096,4096,4096,914,1568,0.9065788686275482,0.0030603620689362288,0.42395269870758057
B07P6JVMJL,L/B07P6JVMJL.glb,1,1,3,3,4096,4096,4096,4096,60647,104180,1.4300198554992676,0.8976771831512451,0.8683246970176697
B07TP4SSTZ,Z/B07TP4SSTZ.glb,1,1,3,3,4096,4096,4096,4096,76097,149552,1.5239999890327454,0.8775669932365417,1.5239999294281006
B07WBYQQ84,4/B07WBYQQ84.glb,1,2,3,3,4096,4096,4096,4096,184744,231970,0.5321236252784729,1.2946830987930298,1.0384273529052734
B07JL5PLPN,N/B07JL5PLPN.glb,1,1,3,3,2048,2048,2048,2048,14949,27812,0.37900346517562866,0.32312145829200745,0.9052620530128479
B07QV194QK,K/B07QV194QK.glb,1,1,3,3,4096,4096,4096,4096,3840,5380,1.6799560189247131,0.3197859823703766,0.4198620915412903
B07B4SCM7N,N/B07B4SCM7N.glb,1,1,3,3,2048,2048,2048,2048,25077,41192,1.5826467275619507,0.8918299674987793,0.4682600349187851
B07B4ZFD47,7/B07B4ZFD47.glb,1,1,3,3,2048,2048,2048,2048,22678,40026,1.8209928274154663,1.436357855796814,2.281896710395813
B07BWJCPWV,V/B07BWJCPWV.glb,1,1,3,3,4096,2048,4096,2048,121291,229936,2.4379255771636963,0.9871589541435242,1.6216512322425842
B07BWMSLVY,Y/B07BWMSLVY.glb,1,1,3,3,2048,2048,2048,2048,14543,25524,3.402922034263611,0.8890702724456787,2.550687551498413
B075X12K17,7/B075X12K17.glb,1,1,4,4,2048,2048,2048,2048,5706,8880,0.25260818004608154,0.42846041917800903,0.25210973620414734
B08DJQQS4K,K/B08DJQQS4K.glb,1,1,3,3,4096,4096,4096,4096,34861,37660,1.3792200684547424,0.7393026351928711,1.3792199492454529
B07P7NX5ZJ,J/B07P7NX5ZJ.glb,1,1,3,3,4096,4096,4096,4096,30383,53844,1.276277482509613,0.9777374267578125,1.0495933890342712
B07B4YXNR3,3/B07B4YXNR3.glb,1,1,3,3,2048,2048,2048,2048,25377,46516,1.6559432744979858,1.146579623222351,2.232176423072815
B075X52BM1,1/B075X52BM1.glb,1,1,3,3,2048,2048,2048,2048,20772,37886,0.7600562870502472,0.9419684410095215,0.8764829337596893
B07HYYBHFH,H/B07HYYBHFH.glb,1,1,3,3,2048,2048,2048,2048,19723,37092,0.8211017549037933,0.47404035925865173,0.6925923526287079
B07MSYK43S,S/B07MSYK43S.glb,1,1,3,3,4096,4096,4096,4096,51166,72586,0.3937634974718094,0.14137911796569824,0.3937634974718094
B07MF1SFKD,D/B07MF1SFKD.glb,1,1,3,3,4096,4096,4096,4096,6854,12960,0.18191400170326233,0.20792832970619202,0.18191401660442352
B07HSK7Y5G,G/B07HSK7Y5G.glb,1,1,3,3,2048,2048,2048,2048,7332,12676,0.5138899981975555,1.0159739647805708,0.5149338692426682
B07TP5MKP3,3/B07TP5MKP3.glb,1,1,3,3,4096,4096,4096,4096,12405,17620,1.519999890327455,0.7599999225139629,0.5999999686291347
B075HWDSC6,6/B075HWDSC6.glb,1,1,3,3,2048,2048,2048,2048,3964,7360,0.10000845044851303,0.2704038619995117,0.10000840574502945
B075HXSW1X,X/B075HXSW1X.glb,1,1,3,3,2048,2048,2048,2048,4124,7520,0.12549784779548645,0.11162694543600082,0.12549783289432526
B07B4Z3B7Q,Q/B07B4Z3B7Q.glb,1,1,3,3,2048,2048,2048,2048,12072,21718,1.9766873121261597,1.2933576107025146,2.497997760772705
B07B7B3CVQ,Q/B07B7B3CVQ.glb,1,1,3,3,2048,2048,2048,2048,5364,9600,0.4574643075466156,0.7374036908149719,0.47593629360198975
B072LKKM3W,W/B072LKKM3W.glb,1,1,3,3,4096,4096,4096,4096,13012,19426,0.30336329340934753,1.5346627235412598,0.3033633232116699
B07QDNQSVF,F/B07QDNQSVF.glb,1,1,3,3,4096,4096,4096,4096,10622,19296,0.45593923330307007,0.8588836193084717,0.5695918500423431
B07374M9ZT,T/B07374M9ZT.glb,1,1,3,3,4096,4096,4096,4096,42673,68630,0.43773549795150757,0.9881578087806702,0.42073190212249756
B00TS18AEA,A/B00TS18AEA.glb,1,1,3,3,4096,4096,4096,4096,13035,21174,0.06984999101691793,0.11429999428093442,0.038096929490131666
B084W368M8,8/B084W368M8.glb,1,1,3,3,4096,4096,4096,4096,105288,202150,0.6151724755764008,0.9716465473175049,0.5968532860279083
B07PBZ3VJ3,3/B07PBZ3VJ3.glb,1,1,3,3,4096,4096,4096,4096,15250,25886,1.3899895316368567,0.9299952636290169,0.9299956364532843
B082QCSFK7,7/B082QCSFK7.glb,1,1,3,3,4096,4096,4096,4096,19306,34488,1.1149144768714905,0.7789081335067749,0.9527001678943634
B07HSLVYPB,B/B07HSLVYPB.glb,1,1,3,3,2048,2048,2048,2048,18405,25208,1.7129212617874146,2.0194451808929443,2.138102650642395
B075X4WBQR,R/B075X4WBQR.glb,1,1,3,3,2048,2048,2048,2048,10764,20024,0.8300373554229736,0.9215205907821655,0.9216002523899078
B071F6WK9K,K/B071F6WK9K.glb,1,1,4,4,4096,4096,4096,4096,9184,16246,0.2650872766971588,1.0549583435058594,0.26508721709251404
B071LTB14G,G/B071LTB14G.glb,1,1,3,3,2048,2048,2048,2048,17516,31146,1.8122451901435852,0.9237655401229858,1.0067432522773743
B071W5VD5C,C/B071W5VD5C.glb,1,1,3,3,2048,2048,2048,2048,15442,19446,0.8783969879150391,1.0633878707885742,0.9042209982872009
B07374M9ZW,W/B07374M9ZW.glb,1,1,4,4,4096,4096,4096,4096,21504,41113,0.3010190278291702,0.754019558429718,0.3010076880455017
B01LR5SEKE,E/B01LR5SEKE.glb,1,1,3,3,4096,4096,4096,4096,3459,6656,0.2395690381526947,0.10510892421007156,0.11625492572784424
B07TVMZ5QP,P/B07TVMZ5QP.glb,1,1,3,3,4096,4096,4096,4096,15092,25608,1.1681504249572754,0.3491412401199341,0.22850783169269562
B073P3S1NX,X/B073P3S1NX.glb,1,1,4,4,4096,4096,4096,4096,13970,20974,0.3101271986961365,1.5688241720199585,0.30767881870269775
